Ship,Sunk date,Notes,Coordinates,Year
Nyon,15-Jun-62,"A Swiss cargo ship that ran aground at Berwickshire in 1958, but was salvaged and repaired. It sank for the final time off Beachy Head, following a collision.",,1962
Sitakund,20-Oct-68,A Norwegian motor tanker that exploded off the coast of Eastbourne.,50°43′08″N 0°14′24″E,1968
Storaa,3-Nov-43,A British coaster sunk by a German torpedo near Hastings.,,1943
U-40,13-Oct-39,A German submarine sunk by a mine off Eastbourne.,50°42′N 0°15′E,1939
U-413,20-Aug-44,A German submarine sunk by a mine 15 nautical miles (28 km) south of Brighton.,,1944
UC-65,3-Nov-17,A German minelaying submarine torpedoed by HMS C15 off Eastbourne.,50°31′N 00°27′E,2017
Wittering,25-Feb-76,"A British Cargo Ship sunk after a collision, 11.5 nautical miles (21.3 km) off Beachy Head. Attended by Hastings Lifeboat.",,1976
Grace Dieu,1439,"Henry V's flagship, struck by lightning in the River Hamble. Now a protected wrecksite. Wreck found in 1859.",,1439
Impétueux,24 August 1794,A Téméraire-class ship of the line that took part in the Glorious First of June. It was captured by the British and accidentally destroyed in a fire at Portsmouth.,,1794
Mary Rose,19 July 1545,"A Tudor warship sunk in Portsmouth Harbour, possibly during an engagement with the French fleet. Now a protected wrecksite",,1545
HMS Newcastle,27 November 1703,A fourth-rate frigate wrecked at Spithead in the Great Storm of 1703.,,1703
HMS Royal George,29 August 1782,"A first-rate ship of the line that sank at anchor off Portsmouth, with the loss of over 800 lives.",,1782
HMS Acheron,17-Dec-40,An A-class destroyer sunk by a mine off St. Catherine's Point.,,1940
HMCS Alberni,21-Aug-44,A Flower-class corvette sunk by U-480 off St. Catherine's Point.,,1944
Albert C. Field,18-Jun-44,A Canadian ship sunk  by a torpedo from a German aircraft off St. Catherine's Point.,,1944
HMS Assurance,1753,A frigate wrecked off The Needles.,,1753
HMS Boxer,8-Feb-18,An Ardent-class destroyer that collided with SS St Patrick off Culver Down.,,2018
Carbon,1947,"A steam powered tugboat, sank and wrecked in Compton Bay; still visible at low tide.",E,1947
HMS Amphion,6-Aug-14,An Active-class scout cruiser sunk by a mine laid by SS Königin Luise.,52°07′N 2°22′E,2014
HMS Blackwater,6-Apr-09,A River-class destroyer that collided with SS Hero east of New Romney.,,2009
HMS Brazen,20-Jul-40,A B-class destroyer sunk by German dive bombers off Folkestone.,51°01′05″N 01°17′15″E,1940
HMS Bulwark,26-Nov-14,A Formidable-class battleship that exploded off Sheerness with the loss of 736 men.,51°25′N 0°39′E,2014
HMS Codrington,27-Jul-40,An A-class destroyer bombed whilst in dock at Dover.,51°7′32″N 1°20′4″E,1940
Deutschland,6 December 1875,A passenger steamship that ran aground on the Kentish Knock.,51°40′00″N 01°37′00″E,1875
HMS Erin's Isle,7-Nov-19,A paddle steamer that was sunk by a mine north of Thanet.,51°33′N 1°19′E,2019
HMS Ghurka,8-Feb-17,A Tribal-class destroyer that hit a mine off Dungeness.,50°51′20″N 0°53′17″E,2017
SMS Grosser Kurfürst,31 May 1878,"A turret ship that collided with SMS König Wilhelm off Folkestone, resulting in 269 deaths.",,1878
Hindostan,11 January 1803,An East Indiaman caught in a gale off Margate.,,1803
Leicester,12-Feb-16,A cargo ship that struck a mine southeast of Folkestone.,51°04′N 1°15′E,2016
Maloja,27-Feb-16,A passenger ship that was sunk by a mine off Folkestone.,51°03′N 1°11′E,2016
Northern Belle,5 January 1857,An American transatlantic ship that ran aground off Thanet.,,1857
Northfleet,22 January 1873,"A Blackwall Frigate that was rammed by a steamer while at anchor off Dungeness, resulting in the loss of 293 lives.",,1873
HMS Paragon,17-Mar-17,An Acasta-class destroyer in action against eight German torpedo boats was torpedoed in the Strait of Dover.,,2017
The Queen,26-Oct-16,A steamship torpedoed by German destroyer S60 off the Varne Bank.,50°54′N 1°19′E,2016
RMS Royal Adelaide,30 March 1850,A steamship wrecked at Tongue Sands off Margate.,,1850
Unity,2-May-18,A cargo ship that was torpedoed by UB-57 about 9 nautical miles (17 km) southeast of Folkestone.,,2018
U-12,8-Oct-39,A German submarine sunk by a mine off Dover.,51°10′N 01°30′E,1939
UB-33,11-Apr-18,A German submarine that struck a mine off the Varne Bank.,,2018
UB-55,22-Apr-18,A Type UB III U-boat that was sunk by a mine.,50°59′N 01°20′E,2018
UB-56,19-Dec-17,A Type UB III U-boat that was sunk by a mine.,50°58′N 01°21′E,2017
UB-58,10-Mar-18,A Type UB III U-boat that was sunk by a mine.,50°58′N 01°14′E,2018
UC-50,4-Feb-18,A German minelaying submarine sunk by HMS Zubian off Dungeness.,,2018
UC-64,20-Jun-18,A German minelaying submarine sunk by a mine off the Varne Bank.,,2018
HMS Venetia,19-Oct-40,A V-class destroyer that was sunk by a mine 12 nautical miles (22 km) northeast of Margate.,,1940
Admiral Gardner,25 January 1809,A merchant vessel sunk in a storm.,,1809
Cap Lopez,21-Dec-07,A cargo ship wrecked in heavy seas.,,2007
HMT Etoile Polaire,3-Dec-15,A naval trawler destroyed by a mine laid by SM UC-1,,2015
Ganges,14 October 1881,A Nourse Line sailing ship wrecked en route from Middlesbrough to Calcutta.,,1881
Guttenburg,1 January 1860,A German brig driven onto the South Sand Head by hurricane-force winds.,,1860
Mahratta (1892),9-Apr-09,A steamship that ran aground and broke in two.,51°14′45″N 01°30′05″E,2009
Mahratta (1917),9-Oct-39,A steamship that ran aground and broke in two.,51°14′45″N 01°30′05″E,1939
Mary White,6 March 1851,A brig that became stranded in rough weather. Its crew were rescued by a lifeboat which subsequently took the name Mary White.,,1851
Montrose,20-Dec-14,"A transatlantic ocean liner, upon which the murderer Hawley Crippen was arrested while attempting to flee to Canada. The ship was wrecked when she broke loose from her moorings during a gale.",,2014
HMS Northumberland,27 November 1703,"A third-rate ship of the line wrecked in the Great Storm of 1703, with 220 deaths.",51°15′29″N 01°30′01″E,1703
HMS Restoration,27 November 1703,"A third-rate ship of the line wrecked in the Great Storm of 1703, with 387 deaths.",51°15′42″N 01°30′3″E,1703
Rooswijk,19 December 1739,An East Indiaman that was wrecked in a heavy storm with the loss of all hands. The wreck was discovered in 2004.,51°16′27″N 01°34′32″E,1739
HMS Stirling Castle,27 November 1703,A third-rate ship of the line wrecked in the Great Storm of 1703.,51°16.4561′N 01°30.4121′E,1703
U-16,25-Oct-39,A German submarine that ran aground while under attack from HMS Puffin and HMS Cayton Wyke.,51°9′N 1°28′E,1939
UC-46,8-Feb-17,A German minelaying submarine sunk by HMS Liberty.,51°07′N 01°39′E,2017
UC-63,1-Nov-17,A German minelaying submarine torpedoed by HMS E52.,51°23′N 02°00′E,2017
HMT Amethyst,24-Nov-40,A naval trawler sunk in the Thames Estuary.,51°30′28″N 1°01′15″E,1940
The Blackfriar I,300,A small sailing ship discovered in Blackfriars along the banks of the Thames.,,300
The Blackfriar II,1660,A ship that was most likely carrying supplies to rebuild after the Great Fire of 1666.,,1660
The Blackfriars III and IV,1600,These ships collided with each other. The Blackfriar III is the most complete medieval sailing ship found in Great Britain.,,1600
Boddington,1805,A merchantman and convict ship that was stranded on a sandbank near Blackwall.,,1805
HMS London,7 March 1665,"A second-rate ship of the line that accidentally exploded in the Thames Estuary, killing 300 crewmen.",51°29′48″N 0°44′23″E,1665
Marchioness,20-Aug-89,"A pleasure boat and former little ship of Dunkirk that collided with the dredger Bowbelle near Cannon Street railway bridge, with 51 deaths.",,1989
HMS A3,2-Feb-12,An A-class submarine sunk as a target of the Isle of Portland.,,2012
Nornen,3 March 1897,"Three mast Barque (Bark. Nor). Sailing from Brunswick Georgia to Bristol England. Forced ashore at Berrow beach, Somerset, by a storm. All crew and the ship's dog were rescued. The hull remains as a wreck on the beach to this day.",,1897
HMS A7,16-Jan-14,An A-class submarine that sank in Whitsand Bay.,,2014
Adolf Vinnen,9-Feb-23,A barquentine that was driven ashore at Bass Point.,,1923
HMS Anson,29 December 1807,A third rate ship of the line wrecked off Loe Bar.,,1807
Antoinette,2 January 1895,A barque wrecked off Doom Bar.,,1895
Ardgarry,29-Dec-62,Lost in a heavy storm off Lizard Point; 12 crew perished.,,1962
Ben Asdale,30-Dec-78,A Scottish fishing trawler wrecked near Falmouth.,,1978
Caledonia,7 September 1842,A brig that was wrecked near Morwenstow.,,1842
SS Corvus,27-Feb-45,A steam merchant that was torpedoed by U-1018 off Lizard Point.,,1945
SS Eastfield,27-Nov-17,A steamship torpedoed by U-boat UB-57 off Mevagissey.,50°14.255′N 4°42.262′W﻿ / ﻿50.237583°N 4.704367°W﻿ / 50.237583; -4.704367﻿ (SS E,2017
HMS Foyle,15-Mar-17,A River-class destroyer that struck a mine southeast of the Rame Peninsula.,,2017
SS Flying Enterprise,10-Jan-52,A steamship that sank after taking damage in a storm.,,1952
Hanover,13 December 1763,A brigantine driven ashore near Perranporth.,,1763
SS James Eagan Layne,21-Mar-45,"A Liberty ship, situated in 22 metres (72 ft) of water in Whitsand Bay next to the wreck of HMS Scylla.",50°19.602′N 4°14.714′W﻿ / ﻿50.326700°N 4.245233°W﻿ / 50.326700; -4.245233﻿ (SS James E,1945
RFA Lady Cory-Wright,26-Mar-18,A cargo ship and mine carrier that was torpedoed by German submarine UC-17 off The Lizard.,,2018
Maria Asumpta,30-May-95,"A brig that struck rocks at
Rump Point.",,1995
La Maudeleyne,1307,"A Spanish cargo ship that was stranded on the south Cornish coast, possibly in Mount's Bay. All her crew were saved and much of the cargo was salvaged.",,1307
Merchant Royal,23 September 1641,A merchant ship wrecked off Land's End in rough weather.,,1641
SS Mohegan,14 October 1898,Wrecked on The Manacles.,,1898
MV RMS Mulheim,22-Mar-03,German cargo ship that ran ashore at Land's End. Five crew members were airlifted to safety.,,2003
HMS Primrose,22 January 1809,A Cruizer-class brig-sloop that ran aground at The Manacles.,,1809
HMCS Regina,8-Aug-44,A Flower-class corvette that was torpedoed by U-667 north of Trevose Head.,,1944
Rosehill,23-Sep-17,Torpedoed by UB-40 off Fowey.,,2017
HMS Scylla,27-Mar-04,A type F71 Frigate sunk to create an artificial reef for divers and marine life by the National Marine Aquarium.[1],,2004
St Anthony (aka Santo António),15 January 1527,A Portuguese carrack that foundered in Gunwalloe Bay.,,1527
Stanwood,10-Dec-39,A steamship that was scuttled after catching fire in the Carrick Roads.,,1939
SS Torrey Canyon,18-Mar-67,A supertanker wrecked on Seven Stones reef.,,1967
HMCS Trentonian,22-Feb-45,A Flower-class corvette that was torpedoed by U-1004 near Falmouth.,,1945
U-650,Jan-45,A Type VIIC U-boat that was sunk by Allied forces southwest of Lizard Point.,,1945
U-1018,27-Feb-45,A Type VIIC/41 U-boat that was sunk by HMS Loch Fada in the English Channel.,,1945
U-1021,14-Mar-45,A Type VIIC/41 U-boat that was sunk by a mine 7 nautical miles (13 km) off Newquay.,,1945
U-1063,15-Apr-45,A German submarine sunk by HMS Loch Killin off Salcombe.,,1945
U-1199,21-Jan-45,A Type VIIC/41 U-boat that was sunk by HMS Icarus and HMS Mignonette south of Gwennap Head.,,1945
UB-65,14-Jul-18,A Type UB III U-boat that sunk for unknown reasons northwest of Doom Bar.,,2018
UC-66,12-Jun-17,A German minelaying submarine sunk by armed trawler Sea King off Landewednack.,,2017
SS Vigrid,31-Dec-17,A Norwegian cargo ship that was torpedoed by U-95.,,2017
Volnay,17-Dec,A Canadian cargo ship that struck a mine in Falmouth Bay.,,2017
HMS Whiting,15 September 1816,A Baltimore clipper that ran aground on the Doom Bar.,,1816
MV Union Star,19-Dec-81,A mini-bulk carrier that ran aground near Mousehole. It caused the Penlee lifeboat disaster.,,1981
SV Carl,7-Oct-17,The SV Carl was impounded by British forces during the First World War and was suspected of being a minelayer. It was being towed to London when it ran aground on Booby's Bay.,,2017
S-89,5-Oct-46,A Large S26 Class Schnellboote (also called S-boat or E-boat). That ran aground in Tremoutha Haven after breaking free for being towed.,,1946
HMS Amethyst,15 February 1811,"A frigate that served in the French Revolutionary Wars and the Napoleonic Wars, eventually blown ashore at Mount Batten.",,1811
Cattewater Wreck,1500,"Wooden ship, first to be protected under Protection of Wrecks Act 1973.",,1500
HMT Elk,27-Nov-40,A former fishing trawler sunk by a mine off Plymouth.,50°17.800′N 4°10.600′W﻿ / ﻿50.296667°N 4.176667°W﻿ / 50.296667; -4.176667﻿ (HMT E,1940
HMS Empress of India,4-Nov-14,A battleship sunk as a target in Lyme Bay.,50°29′42″N 2°57′54″W﻿ / ﻿50.49500°N 2.96500°W﻿ / 50.49500; -2.96500﻿ (HMS E,2014
HMS Formidable,1-Jan-15,A Formidable-class battleship sunk off Start Point by German submarine U-24.,,2015
Glen Strathallen,Apr-70,A luxury yacht sunk as an underwater training facility near Fort Bovisand.,,1970
Hallowe'en,1887,A clipper wrecked off Salcombe.,,1887
Herzogin Cecilie,18-Jan-39,A German-built barque that was beached at the Kingsbridge Estuary and later capsized.,,1939
MV Ice Prince,15-Jan-08,A cargo ship that sank in the English Channel.,,2008
London,9 October 1796,"Sank in Rapparee Cove, North Devon in stormy weather, while carrying prisoners and treasure from the Caribbean island of Saint Lucia.",,1796
SS Louis Sheid,7-Dec-39,A Belgian steamer that ran aground near Thurlestone.,,1939
USS LST-493,12-Apr-45,A US Navy tank landing ship run aground while attempting to enter Plymouth harbour.,,1945
HMS M1,12-Nov-25,An M-class submarine that collided with the SS Vidar in the English Channel.,,1925
HMS M2,26-Jan-32,A British aircraft-carrying submarine shipwrecked in Lyme Bay.,,1932
SS Maine,21-Nov-17,A steamship torpedoed by UC-17 off Dartmouth.,,2017
Marguerite,28-Jun-17,A French ship torpedoed by UB-40.,,2017
RMS Medina,1-Feb-17,A Royal Mail Ship torpedoed by UB-31 off Start Point.,,2017
HMS Penylan,3-Dec-42,A Hunt-class destroyer sunk by E-boats off Start Point.,,1942
SS Persier,11-Feb-45,A cargo ship that was torpedoed by U-1017 off the Eddystone Rocks.,,1945
HMHS Rewa,4-Jan-18,A hospital ship torpedoed by German submarine U-55.,,2018
U-214,26-Jul-44,A Type VIID U-boat that was sunk by HMS Cooke southeast of Salcombe.,,1944
U-269,25-Jun-44,A German submarine sunk by HMS Bickerton off Torquay.,,1944
UC-49,8-Aug-18,A German minelaying submarine sunk by HMS Opossum off Start Point.,,2018
UC-51,17-Nov-17,A German minelaying submarine sunk by a mine off Salcombe.,,2017
HMS Victory,4 October 1744,"A first-rate ship of the line that was lost in a storm, and discovered in 2009 near Salcombe.",,1744
HMS A1,1911,An A-class submarine sunk off Bracklesham Bay.,,1911
Aeolian Sky,4-Nov-79,"A Greek freighter that collided with another ship near the Channel Islands, and sank off St Alban's Head.",,1979
HMS Empress of India,4-Nov-14,A battleship sunk as a target in Lyme Bay.,50°29.42′N 2°57.54′W﻿ / ﻿50.49033°N 2.95900°W﻿ / 50.49033; -2.95900﻿ (E,2014
Alexander,27 March 1815,An East Indiaman driven ashore in a storm at Wyke Regis.,,1815
SS Athen,1911,A German merchant ship that collided with SS Thor off Portland Bill.,,1911
SS Binnendijk,8-Oct-39,A Dutch cargo ship that struck a mine and sank off Portland Bill.,,1939
HMS Bittern,4-Apr-18,An Avon-class destroyer that collided with SS Kenilworth off the Isle of Portland.,,2018
HMS Boadicea,13-Jun-44,A B-class destroyer sunk by aerial torpedoes dropped by Junkers Ju 88 dive bombers off the Isle of Portland.,,1944
HMS Foylebank,5-Jul-40,"A merchant ship converted into an anti-aircraft ship, sunk by German Stuka off the Isle of Portland.",,1940
HMS Hood,4-Nov-14,A pre-dreadnought battleship sunk as a blockship in Portland Harbour.,,2014
SS Kyarra,5-May-18,A luxury liner sunk by German submarine UB-57 near Swanage.,,2018
HMS L24,10-Jan-24,An L-class submarine that collided with HMS Resolution off Portland Bill.,,1924
USS LST-507,28-Apr-44,A tank landing ship sunk by German E-boats off the Isle of Portland.,,1944
SS Radaas,21-Sep-17,A Danish steamship sunk by UB-40 off Portland Bill.,,2017
HMS Safari,8-Jan-46,An S-class submarine that sunk while under tow to be scrapped.,,1946
HMS Sidon,14-Jun-57,An S-class submarine that sunk in Portland Harbour on 16 June 1955 following an explosion. It was later raised and sunk as a target off Weymouth.,,1957
U-322,19-Dec-44,A Type VIIC U-boat that was sunk by HMCS Calgary south of Weymouth.,,1944
